hostname,thread_count,memory,resillience,performance,parallelization,consumption,country_code,cloud_type,instance_type,ts,stage,frequency
a1dd6031-804c-46f0-807e-06ba72b59353,8,15,64,577,"{1,0.9441465594280608,0.9206971677559913,0.9037639007698888,0.7019933554817275,0.6770265940403716,0.6943805455142951,0.6311230585424135}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,premises,Dell Precision 3520,2021-04-24 21:54:44.805734,prod,4000
84aba324-8a6c-4eec-8310-a1d75a53aa8a,8,15,60,573,"{1,0.9653333333333333,0.9459930313588849,0.9289991445680068,0.7261785356068204,0.7081838930551027,0.7035957240038873,0.6475849731663685}","{0.00330309,0.00660618,0.00849366,0.01065078,0.01267308,0.01327977,0.01357188,0.01359435,0.01361682}",ES,premises,Dell Precision 3520,2021-04-24 22:13:05.081651,prod,4000
400a0e13-0473-4139-922f-b8a4fff394ab,8,31,61,716,"{1,0.9938524590163934,0.9945317840054683,0.9904697072838666,0.7566302652106085,0.7461538461538462,0.692197906755471,0.6694271911663217}",{0.3712},IE,aws,t3.2xlarge,2021-04-22 11:16:41.10874,prod,2500
4b8ccd4f-75e4-4ff7-99a7-c16274f61363,8,31,61,680,"{1,0.9924406047516199,0.9943197186908304,0.9897684437264405,0.7819612848330142,0.779804836656767,0.7375601926163723,0.7244777296018919}",{0.3712},IE,aws,t3.2xlarge,2021-04-22 11:18:01.373615,prod,2500
e1aee59a-2aba-4630-91d4-dae2c9944966,8,31,62,673,"{1,0.9975721607769085,0.9858704345507864,0.9858704345507864,0.7834745762711863,0.7788542544229149,0.750253601136133,0.7269510517004127}",{0.3712},IE,aws,t3.2xlarge,2021-04-22 11:18:05.849717,prod,2499
a4380697-b0f2-41d6-b0db-ab6c3d87c3ac,8,31,61,642,"{1,0.9875066454013822,0.9930499866345898,0.9833245103229221,0.7884125636672326,0.779970606760445,0.7384217849334128,0.7227626459143969}",{0.3712},IE,aws,t3.2xlarge,2021-04-22 11:18:28.944456,prod,2499
d7f1d74a-a5d3-4b42-b37c-c463acef9fa9,8,31,69,642,"{1,1.0099435635581833,1.0058886509635974,1.0064274236743438,0.7946711778388665,0.7933291112518471,0.7511493104137517,0.7334113973458235}",{0.3712},IE,aws,t3.2xlarge,2021-04-22 11:18:37.832101,prod,2499
616ed916-6cb7-4f6f-a442-2e235d96180a,8,31,62,662,"{1,0.9933119315141787,0.9954423592493299,0.9973139940907871,0.7851554239796998,0.7831681079940942,0.7426,0.7286106750392465}",{0.3712},IE,aws,t3.2xlarge,2021-04-22 11:35:56.218688,prod,2499
d6914708-f95a-421a-8ce6-8d3be06a85f6,8,31,74,679,"{1,0.9910834909483923,0.9926928281461433,0.9905482041587901,0.7797619047619048,0.7847667950363714,0.7366941152841936,0.7233287320055216}",{0.3712},IE,aws,t3.2xlarge,2021-04-22 11:36:54.146887,prod,2499
039f824d-0538-47cd-b5f0-164b87a027d9,8,31,73,669,"{1,0.9962355471901049,0.9903769045709704,0.9874733475479742,0.7839610664409649,0.7801642451042323,0.7402597402597403,0.7273262661955241}",{0.3712},IE,aws,t3.2xlarge,2021-04-22 11:37:10.183056,prod,2499
d8b82970-bbb7-40cb-ad93-3fd94dc1303e,32,249,66,756,"{1,0.995937711577522,0.9957129963898917,0.9968375875310594,0.9954883825851569,0.9948151487826872,0.9800133244503665,0.9950394588500564,0.9957129963898917,0.9919082939986514,0.9932478055367995,0.9870275106240215,0.9828507795100223,0.9865861837692825,0.9826319305277222,0.987248322147651,0.7328130189305879,0.7382067581130813,0.7335438829787235,0.7329347284504235,0.7333000997008974,0.732448132780083,0.732448132780083,0.729904068805822,0.6711787072243346,0.670363056357284,0.669549385525717,0.6680290644868302,0.6491615180935569,0.6496393346091565,0.6465934065934066,0.6356957649092481}",{1.808},US,aws,r5a.8xlarge,2021-04-27 05:56:24.781779,prod,2542
f61fcc99-446f-4455-ae6b-00f33dbc3280,32,249,69,762,"{1,0.9961720333258276,0.9972948602344455,1.0004522840343737,0.997744700045106,0.9957236101733064,0.9970700924047781,0.9979697721633206,0.9972948602344455,0.9954995499549956,0.9970700924047781,0.9917058955391168,0.9932644813650652,0.9910394265232976,0.9910394265232976,0.9890453834115807,0.7354945968412303,0.7405423501841313,0.7409144196951934,0.7342738589211618,0.7325716178175194,0.7335433593102305,0.7340301974448316,0.7328143117442439,0.6730564430244941,0.6712183280230618,0.671320182094082,0.6712183280230618,0.6526999114783122,0.6540508574807806,0.6455566905005108,0.640138908985675}",{1.808},US,aws,r5a.8xlarge,2021-04-27 05:57:09.44921,prod,2537
0ec3394e-bb00-4df2-ba4f-357542f6e115,32,249,69,761,"{1,0.9977401129943503,0.9963890769577972,0.9959395443266411,0.9925809352517986,0.9963890769577972,0.9948174853537629,0.9952660054102795,0.9950416948388551,0.9948174853537629,0.9905766210455463,0.9890232974910393,0.98835907768077,0.9876957494407158,0.9872540250447227,0.9752595537883807,0.7322939127550174,0.7336324360252575,0.7352206494587844,0.7339983374896093,0.7331451345068084,0.7315658657829328,0.7315658657829328,0.7297520661157024,0.6732235437633425,0.6694465504169825,0.6731209025766123,0.6688380548401757,0.6544619033501334,0.6504124926340601,0.6418084023840673,0.6391140706427331}",{1.808},US,aws,r5a.8xlarge,2021-04-27 07:01:41.427923,prod,2551
64c27449-fab8-49ab-b41c-3f85afcedb80,32,249,69,756,"{1,1.0104048857724497,1.0092634432896521,1.008124576844956,0.998881932021467,1.0085798148566267,0.9993288590604027,0.9993288590604027,1.0088075880758807,1.0054017555705606,1.0065344749887337,0.9995524725889462,0.9982122905027934,1.0006720430107527,0.99665327978581,0.9955426788500112,0.7422731804586241,0.742766877286332,0.7426433915211971,0.7464906417112299,0.741780139488542,0.7415338645418327,0.740182270091135,0.7421498587805284,0.6798052046872624,0.6751813784764209,0.6764082374318594,0.6756920284374528,0.6574919046217251,0.6580730701237478,0.6480487451037283,0.6434745030250648}",{1.808},US,aws,r5a.8xlarge,2021-04-27 07:02:04.929148,prod,2539
1ddfaa3e-f45f-4b18-bd96-cfb7d4c0e30a,32,249,67,762,"{1,0.9975118751413707,0.9941388638412985,0.998867497168743,0.9948116399729303,0.9957100925716866,0.995260663507109,0.9901212393354288,0.9916797841241287,0.9912339851652057,0.9907885868344193,0.9867979413739092,0.9867979413739092,0.9856951274027715,0.9859154929577466,0.98,0.73512252042007,0.7399328859060402,0.7338991512730904,0.732801595214357,0.7325581395348837,0.7336549658958577,0.7330452127659575,0.7297699817971207,0.6725636724111638,0.6708244599939155,0.6700091157702827,0.6689927184466019,0.6509225092250923,0.6493888970696511,0.6424825174825175,0.6399651719634306}",{1.808},US,aws,r5a.8xlarge,2021-04-27 08:00:12.468562,prod,2543
87abc14e-e08c-4d9b-9037-aaa4f64aa3b0,32,249,76,761,"{1,0.9954954954954955,0.998644374152734,0.9959441189725101,0.9979679385865885,0.996168582375479,0.9963931469792606,0.997067448680352,0.9959441189725101,0.9954954954954955,0.9939284911176075,0.9916984518734575,0.9896999552171968,0.9888143176733781,0.9844097995545658,0.9780924983403408,0.7429820137838292,0.7344632768361582,0.7344632768361582,0.7339754234473598,0.7339754234473598,0.7303370786516854,0.7328801193831869,0.7332448573324486,0.6723456038941285,0.6716304512991946,0.6715284108173808,0.6649616368286445,0.6534594914251922,0.6498088797412527,0.6399305052844941,0.6394675925925926}",{1.808},US,aws,r5a.8xlarge,2021-04-27 08:00:14.62278,prod,2547
cd594022-9b23-4273-8267-9e4b606213a6,32,249,64,761,"{1,0.9984177215189873,0.9979665612291009,0.9975158084914183,0.9954924498535047,0.9961659900766802,0.9961659900766802,0.9925842696629213,0.9919155625421064,0.9919155625421064,0.9921383647798742,0.9881431767337807,0.9914702581369249,0.9901367406411119,0.9868185880250224,0.9848383500557414,0.7339647723496179,0.7332337317397079,0.7333554706956666,0.7333554706956666,0.7329903750414869,0.7328687572590011,0.7323826894379042,0.7337209302325581,0.6755888650963598,0.6726054514999239,0.6702579666160849,0.6689383613509011,0.6548554484803558,0.6492723798324269,0.6421924978191335,0.6410740203193033}",{1.808},US,aws,r5a.8xlarge,2021-04-27 08:51:12.936829,prod,2558
3395eb05-0963-412f-9b90-63392093472c,32,249,72,761,"{1,0.9990956364458512,0.9990956364458512,0.9966170500676589,0.9957187922487606,0.9954944807389051,0.9835299354551524,0.9952702702702703,0.9806924101198401,0.9714222906133215,0.9932569116655428,0.9899193548387096,0.9930337078651685,0.9890331244404655,0.9892545332437876,0.9870448961358051,0.7335657370517927,0.7341751121448745,0.7346633416458853,0.7341751121448745,0.733931240657698,0.730896460469732,0.7336875311306658,0.733931240657698,0.6756880733944953,0.6717847370021283,0.6736280487804879,0.669849931787176,0.6533116499112951,0.6492800470173375,0.6441690962099126,0.6385838150289017}",{1.808},US,aws,r5a.8xlarge,2021-04-27 08:52:31.675375,prod,2543
340ba1b7-4eba-4f76-beb1-70af4d54da21,4,29,72,259,"{1,0.9939410630680253,0.7570799244808056,0.6819727891156463}",{0.75},US,aws,g3s.xlarge,2021-04-29 14:17:42.445563,prod,3000
b95a7f9f-d249-4c17-a4b7-4b6ff82e2628,4,29,75,255,"{1,0.9911918524635288,0.7546102263202011,0.6793057913601207}",{0.75},US,aws,g3s.xlarge,2021-04-30 08:57:29.234692,prod,3000
